Id,Name,Score,Genres,English,Japanese,Type,Episodes,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Min_Duration,Aired_Start,Aired_End,Premiered_Year,Premiered_Season
2924,ef: A Tale of Memories.,7.95,"Mystery, Drama, Romance",ef - a tale of memories.,ef - a tale of memories.,TV,12,Rondo Robe,Sentai Filmworks,Shaft,Visual novel,24 min. per ep.,PG-13,593,664,220459,2834,24.0,"Oct 7, 2007","Dec 23, 2007",2007,Fall
2926,Myself; Yourself,7.21,"Drama, Romance, School",Myself; Yourself,マイセルフ; ユアセルフ,TV,13,Marvelous,Maiden Japan,Doga Kobo,Visual novel,25 min. per ep.,PG-13,2754,902,164171,833,25.0,"Oct 3, 2007","Dec 26, 2007",2007,Fall
2927,KimiKiss Pure Rouge,7.33,"Drama, Romance, School",KimiKiss:Pure Rouge,キミキス pure rouge,TV,24,Bandai Visual,Sentai Filmworks,J.C.Staff,Visual novel,24 min. per ep.,PG-13,2223,1665,80052,321,24.0,"Oct 7, 2007","Mar 23, 2008",2007,Fall
2928,.hack//G.U. Returner,6.72,"Magic, Adventure, Fantasy, Game, Sci-Fi, Drama",Unknown,.HACK//G.U. RETURNER,OVA,1,Bandai Visual,Unknown,Bee Train,Game,24 min.,PG-13,4780,3697,19594,39,24.0,"Jan 18, 2007",Unknown,Unknown,Unknown
2929,Moonlight Mile 2nd Season: Touch Down,7.36,"Adventure, Drama, Sci-Fi, Space",Unknown,ムーンライトマイル 2ndシーズン -Touch down-,TV,14,Unknown,Unknown,Studio Hibari,Manga,25 min. per ep.,R+,2067,6964,4147,10,25.0,"Sep 13, 2007","Dec 13, 2007",2007,Fall
2930,Tensai? Dr. Hamax,Unknown,Comedy,Unknown,天才？Dr.ハマックス,TV,12,Trans Arts,Unknown,Production I.G,Original,23 min. per ep.,G,12443,14501,223,0,23.0,"Oct 6, 2007","Dec 22, 2007",2007,Fall
2931,Mokke,7.07,"Slice of Life, Supernatural, Mystery",Unknown,もっけ,TV,24,Kodansha,Unknown,Madhouse,Manga,24 min. per ep.,PG,3373,4444,12796,24,24.0,"Oct 3, 2007","Mar 16, 2008",2007,Fall
2933,Mirai Keisatsu Urashiman,6.64,"Action, Sci-Fi, Comedy, Police",Future Police Urashiman,未来警察ウラシマン,TV,50,Fuji TV,Sentai Filmworks,Tatsunoko Production,Manga,23 min. per ep.,PG-13,5201,9227,1721,3,23.0,"Jan 9, 1983","Dec 24, 1983",1983,Winter
2934,Shiawase Sou no Okojo-san,6.51,Comedy,Unknown,しあわせソウのオコジョさん,TV,51,Sotsu,Unknown,Unknown,Manga,25 min. per ep.,G,5825,8495,2292,5,25.0,"Oct 2, 2001","Sep 24, 2002",2001,Fall
2935,Ryokan Shirasagi,6.12,Hentai,Swallowtail Inn,旅館白鷺,OVA,2,Discovery,Media Blasters,AT-2,Visual novel,30 min. per ep.,Hentai,0,8538,2246,2,30.0,"Jun 27, 2003","Apr 30, 2004",Unknown,Unknown
2936,Private Emotion,5.44,Hentai,Unknown,プライベートエモーション,OVA,2,Unknown,Media Blasters,Unknown,Visual novel,30 min. per ep.,Hentai,0,9843,1321,3,30.0,"Mar 25, 2003","Jul 25, 2003",Unknown,Unknown
2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,7.08,Shoujo,Unknown,メイクアップ！ セーラー戦士,Special,1,Unknown,VIZ Media,Toei Animation,Manga,17 min.,PG-13,3275,4213,14482,39,17.0,"Dec 5, 1993",Unknown,Unknown,Unknown
2938,Idol Densetsu Eriko,6.82,Music,Legendary Idol Eriko,アイドル伝説えり子,TV,51,Youmex,Unknown,Production Reed,Original,22 min. per ep.,PG-13,4348,7080,4020,5,22.0,"Apr 3, 1989","Mar 26, 1990",1989,Spring
2942,Sketchbook: Full Color's,7.39,"Slice of Life, Comedy",Sketchbook ~full color's~,スケッチブック ～full color's～,TV,13,Media Factory,Nozomi Entertainment,Hal Film Maker,4-koma manga,23 min. per ep.,G,1932,3273,25072,168,23.0,"Oct 2, 2007","Dec 25, 2007",2007,Fall
2943,Inbaku Gakuen,6.28,"Hentai, School",School of Bondage,淫縛学艶,OVA,3,NuTech Digital,Unknown,Studio Jam,Manga,30 min. per ep.,Hentai,0,6828,4396,24,30.0,"Jun 25, 2002","May 27, 2003",Unknown,Unknown
2944,Seisai,5.4,"Dementia, Fantasy, Hentai, Horror",Perverse Investigations,性裁,OVA,2,Unknown,Unknown,Y.O.U.C,Visual novel,30 min. per ep.,Hentai,0,7626,3242,6,30.0,"Jan 10, 2003","Apr 11, 2003",Unknown,Unknown
2945,Hitozuma Ryoujoku Sankanbi,6.24,Hentai,Desperate Carnal Housewives,人妻凌辱参観日,OVA,2,Milky Animation Label,Unknown,Unknown,Original,30 min. per ep.,Hentai,0,6795,4422,24,30.0,"Feb 25, 2005","May 25, 2005",Unknown,Unknown
2946,Angel Core: Tenshi-tachi no Sumika,5.62,"Action, Mecha, Hentai, Military, Historical",Angel Core,ANGEL CORE エンゼル・コア～天使たちの住処～,OVA,2,Blue Eyes,Unknown,Unknown,Visual novel,30 min. per ep.,Hentai,0,6622,4748,12,30.0,"Jan 25, 2003","Apr 25, 2003",Unknown,Unknown
2947,Ojamajo Doremi Sharp Movie,7.11,"Kids, Magic, Shoujo",Unknown,おジャ魔女どれみ♯,Movie,1,Unknown,Unknown,Toei Animation,Unknown,27 min.,G,3142,7137,3931,7,27.0,"Jul 8, 2000",Unknown,Unknown,Unknown
2948,Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,7.15,"Kids, Magic, Shoujo",More! Ojamajo Doremi:Secret of the Frog Stone,も～っと！おジャ魔女どれみ カエル石のひみつ,Movie,1,Unknown,Unknown,Toei Animation,Unknown,26 min.,G,3008,7153,3921,6,26.0,"Jul 14, 2001",Unknown,Unknown,Unknown
2950,Doubutsu no Mori,7.08,"Kids, Slice of Life",Unknown,どうぶつの森,Movie,1,Studio Jack,Unknown,OLM,Game,1 hr. 27 min.,G,3281,3586,20792,135,87.0,"Dec 16, 2006",Unknown,Unknown,Unknown
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen",Unknown,銀魂〜何事も最初が肝心なので多少背伸びするくらいが丁度良い〜,Special,1,Audio Highs,Unknown,Sunrise,Manga,32 min.,PG-13,436,2380,45311,87,32.0,"Sep 24, 2005",Unknown,Unknown,Unknown
2952,Final Fantasy VII: Advent Children Complete,7.96,"Action, Fantasy, Super Power",Unknown,ファイナルファンタジーVII アドベントチルドレンコンプリート,OVA,1,Unknown,Unknown,Square Enix,Game,2 hr. 6 min.,PG-13,583,1256,115540,772,126.0,"Apr 16, 2009",Unknown,Unknown,Unknown
2953,Egao,6.51,"Music, Slice of Life, Kids",Unknown,笑顔,Music,1,NHK,Unknown,Unknown,Original,2 min.,G,5860,4565,11954,6,2.0,"Apr, 2003",Unknown,Unknown,Unknown
2954,Maria-sama ga Miteru 3rd Specials,7.35,Comedy,Keep it a Secret from Maria-sama,マリア様にはないしょ。,Special,5,Unknown,Nozomi Entertainment,Studio Deen,Light novel,2 min. per ep.,PG,2136,5863,6418,4,2.0,"Dec 29, 2006","Jul 25, 2007",Unknown,Unknown
2955,Hana no Joshi Announcer: Newscaster Etsuko,6.46,Hentai,Foxy Nudes,花の女子アナ ニュースキャスター・悦子,OVA,2,Discovery,Media Blasters,AT-2,Original,26 min. per ep.,Hentai,0,5342,8040,43,26.0,"Jun 25, 2004","Sep 24, 2004",Unknown,Unknown
2956,Shin-ban Megami Tantei Vinus File,5.79,Hentai,The Venus Files,真版女神探偵 VINUS FILE,OVA,2,NuTech Digital,Unknown,Unknown,Manga,30 min. per ep.,Hentai,0,9778,1374,5,30.0,"Feb 27, 2004","Aug 27, 2004",Unknown,Unknown
2957,Okusama wa Mahoutsukai,5.83,Hentai,Enspelled,奥様は魔法使い,OVA,2,Digital Works,Media Blasters,Unknown,Original,30 min. per ep.,Hentai,0,8196,2580,2,30.0,"Dec 8, 2006","Mar 9, 2007",Unknown,Unknown
2958,Hitozuma Cosplay Kissa,6.0,Hentai,Cosplay Cafe,人妻コスプレ喫茶,OVA,2,Milky Animation Label,Media Blasters,Unknown,Visual novel,26 min. per ep.,Hentai,0,6786,4453,12,26.0,"Mar 25, 2004","Aug 25, 2004",Unknown,Unknown
2960,Kininaru Roommate,6.58,Hentai,The Roommate,気になるルームメイト,OVA,2,Milky Animation Label,JapanAnime,Unknown,Manga,30 min. per ep.,Hentai,0,6492,4957,16,30.0,"Feb 25, 2006","Sep 25, 2006",Unknown,Unknown
2961,Digimon Adventure Movie,7.57,"Action, Fantasy, Kids, Sci-Fi",Digimon:The Movie,デジモンアドベンチャー 劇場版,Movie,1,Unknown,Saban Entertainment,Toei Animation,Original,20 min.,PG,1364,1448,96213,367,20.0,"Mar 6, 1999",Unknown,Unknown,Unknown
2962,Digimon Adventure 02 Movies,7.12,"Adventure, Fantasy, Kids, Sci-Fi",Digimon:The Movie,映画 デジモンアドベンチャー０２,Movie,2,Bandai Visual,Saban Entertainment,Toei Animation,Original,32 min. per ep.,PG,3121,2552,39760,49,32.0,"Jul 8, 2000",Unknown,Unknown,Unknown
2963,Minami-ke,7.69,"Slice of Life, Comedy, School",Unknown,みなみけ,TV,13,Starchild Records,Unknown,Daume,Manga,24 min. per ep.,PG-13,1066,983,150672,1168,24.0,"Oct 8, 2007","Dec 31, 2007",2007,Fall
2964,Blue Drop: Tenshi-tachi no Gikyoku,6.73,"Sci-Fi, Drama, Shoujo Ai",Blue Drop,BLUE DROP ～天使達の戯曲～,TV,13,BeSTACK,Sentai Filmworks,Gonzo,Manga,26 min. per ep.,PG-13,4755,3174,26721,109,26.0,"Oct 3, 2007","Dec 26, 2007",2007,Fall
2965,Suteki Tantei Labyrinth,6.74,"Mystery, Sci-Fi",Fantastic Detective Labyrinth,素敵探偵☆ラビリンス,TV,25,Sotsu,Nozomi Entertainment,Studio Deen,Manga,23 min. per ep.,PG-13,4728,5185,8626,17,23.0,"Oct 3, 2007","Mar 26, 2008",2007,Fall
2966,Ookami to Koushinryou,8.27,"Adventure, Fantasy, Historical, Romance",Spice and Wolf,狼と香辛料,TV,13,Victor Entertainment,Funimation,Imagin,Light novel,24 min. per ep.,PG-13,244,153,641448,16479,24.0,"Jan 9, 2008","Mar 26, 2008",2008,Winter
2967,Saishuu Shiken Kujira,5.06,"Comedy, Ecchi, Mystery, School, Supernatural",Unknown,最終試験くじら,ONA,12,Starchild Records,Unknown,Zexcs,Visual novel,5 min. per ep.,PG-13,10528,6661,4659,2,5.0,"Aug 25, 2007","Nov 10, 2007",Unknown,Unknown
2969,Appleseed Saga Ex Machina,7.36,"Action, Mecha, Military, Sci-Fi",Appleseed:Ex Machina,エクスマキナ,Movie,1,Sega,ADV Films,Digital Frontier,Unknown,1 hr. 44 min.,PG-13,2051,2717,35540,114,104.0,"Oct 20, 2007",Unknown,Unknown,Unknown
2970,Night Wizard,6.69,"Adventure, Fantasy, Magic, Shounen",Unknown,ナイトウィザード,TV,13,TYO,Unknown,Hal Film Maker,Game,25 min. per ep.,PG-13,4927,2786,33839,58,25.0,"Oct 3, 2007","Dec 26, 2007",2007,Fall
2971,Kyou kara Maou! R,7.46,"Adventure, Comedy, Demons, Fantasy, Shoujo",Unknown,今日からマ王！R,OVA,5,Unknown,Discotek Media,Studio Deen,Light novel,25 min. per ep.,PG-13,1714,3615,20553,64,25.0,"Oct 26, 2007","Mar 28, 2008",Unknown,Unknown
2972,Kindan no Mokushiroku: Crystal Triangle,4.62,"Adventure, Military, Demons, Mystery",Crystal Triangle,禁断の黙示録 クリスタルトライアングル,OVA,1,Movic,Central Park Media,animate Film,Original,1 hr. 26 min.,PG-13,10864,9055,1829,5,86.0,"Jul 22, 1987",Unknown,Unknown,Unknown
2973,Fire Tripper,6.62,"Fantasy, Sci-Fi",Fire Tripper,炎トリッパー,OVA,1,Unknown,Unknown,Studio Pierrot,Manga,50 min.,R+,5278,7200,3827,6,50.0,"Dec 16, 1985",Unknown,Unknown,Unknown
2974,The Humanoid: Ai no Wakusei Lezeria,4.83,"Space, Mecha, Drama, Sci-Fi",The Humanoid,ザ・ヒューマノイド 哀の惑星レザリア,OVA,1,Toshiba EMI,Central Park Media,Kaname Productions,Unknown,47 min.,PG-13,10745,9071,1835,0,47.0,"Mar 5, 1986",Unknown,Unknown,Unknown
2977,Youjuu Sensen Adventure Kid,5.32,"Fantasy, Hentai, Demons, Horror",Adventure Kid,妖獣戦線アドベンチャーKID,OVA,3,Unknown,Central Park Media,Unknown,Manga,35 min. per ep.,Hentai,0,8971,1895,7,35.0,"Jul 21, 1992","Oct 21, 1993",Unknown,Unknown
2978,Shin Getter Robo,7.35,"Action, Adventure, Mecha, Sci-Fi, Demons, Horror, Shounen",New Getter Robo,新ゲッターロボ,OVA,13,Bee Media,Discotek Media,Brain's Base,Original,24 min. per ep.,R-17+,2102,5355,8013,76,24.0,"Apr 9, 2004","Sep 10, 2004",Unknown,Unknown
2980,Kuusou Kagaku Sekai Gulliver Boy,6.44,"Action, Adventure, Fantasy, Magic, Mecha",Fantascience World Gulliver Boy,空想科学世界ガリバーボーイ,TV,50,Unknown,Unknown,Toei Animation,Unknown,24 min. per ep.,PG-13,6232,10218,1116,3,24.0,"Jan 8, 1995","Dec 24, 1995",1995,Winter
2981,Chika Gentou Gekiga: Shoujo Tsubaki,5.25,"Drama, Historical, Horror",Midori,地下幻燈劇画 少女椿,Movie,1,Imagica,Unknown,Unknown,Manga,47 min.,R+,10240,2832,32948,235,47.0,"May 2, 1992",Unknown,Unknown,Unknown
2982,Yuuwaku,6.56,"Hentai, School",Temptation,誘惑,OVA,2,Discovery,Central Park Media,AT-2,Visual novel,30 min. per ep.,Hentai,0,6244,5444,28,30.0,"Jul 25, 2003","Oct 31, 2003",Unknown,Unknown
2983,Digital Devil Story: Megami Tensei,5.21,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School",Unknown,デジタル・デビル物語〈ストーリ〉 女神転生,OVA,1,Movic,Unknown,animate Film,Light novel,45 min.,R-17+,10316,6131,5734,9,45.0,"Mar 25, 1987",Unknown,Unknown,Unknown
2985,Majin Tantei Nougami Neuro,7.62,"Mystery, Comedy, Demons, Supernatural, Shounen",Neuro:Supernatural Detective,魔人探偵 脳噛ネウロ,TV,25,VAP,Unknown,Madhouse,Manga,23 min. per ep.,R-17+,1222,2023,59286,593,23.0,"Oct 3, 2007","Mar 26, 2008",2007,Fall
2986,Bamboo Blade,7.34,"Comedy, School, Seinen, Sports",Bamboo Blade,バンブーブレード,TV,26,Square Enix,Funimation,AIC ASTA,Manga,24 min. per ep.,PG-13,2139,1664,80388,296,24.0,"Oct 2, 2007","Apr 1, 2008",2007,Fall
2987,Ginga Hyouryuu Vifam,7.13,"Action, Sci-Fi, Adventure, Space, Mecha",Unknown,銀河漂流バイファム,TV,46,Unknown,Unknown,Sunrise,Original,25 min. per ep.,G,3085,7820,2987,17,25.0,"Oct 21, 1983","Sep 21, 1984",1983,Fall
2988,Mahou Shoujo Ai,6.54,"Action, Hentai, Horror, Supernatural",Unknown,魔法少女アイ,OVA,5,Milky Animation Label,Unknown,Unknown,Visual novel,30 min. per ep.,Hentai,0,5539,7413,45,30.0,"Aug 25, 2003","Feb 25, 2005",Unknown,Unknown
2989,Classmate no Okaasan,6.03,"Hentai, School",My Classmate's Mother,クラスメイトのお母さん,OVA,2,Y.O.U.C,Media Blasters,Unknown,Visual novel,30 min. per ep.,Hentai,0,6568,4826,22,30.0,"Apr 13, 2007","Jul 13, 2007",Unknown,Unknown
2990,Mini Skirt Gakuen,4.54,Hentai,Girl's Locker Room Lust,ミニスカ学園,OVA,1,Obtain Future,Unknown,Unknown,Original,19 min.,Hentai,0,9929,1270,3,19.0,"Dec 21, 2001",Unknown,Unknown,Unknown
2993,Rosario to Vampire,6.84,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen",Rosario + Vampire,ロザリオとバンパイア,TV,13,GDH,Funimation,Gonzo,Manga,25 min. per ep.,R+,4285,208,545750,3794,25.0,"Jan 3, 2008","Mar 27, 2008",2008,Winter
2994,Death Note: Rewrite,7.71,"Mystery, Police, Psychological, Supernatural, Thriller",Death Note:Relight,ディレクターズカット完全決着版 〜リライト,Special,2,Shueisha,VIZ Media,Madhouse,Manga,1 hr. 52 min. per ep.,R-17+,994,965,154021,658,112.0,"Aug 31, 2007","Aug 22, 2008",Unknown,Unknown
2997,Hi no Tori: Houou-hen,6.88,"Historical, Drama, Fantasy",Phoenix:Karma Chapter,火の鳥　鳳凰編,Movie,1,Tezuka Productions,Unknown,Madhouse,Manga,1 hr.,R+,4112,8071,2709,4,60.0,"Dec 20, 1986",Unknown,Unknown,Unknown
2998,Hi no Tori: Uchuu-hen,6.96,"Sci-Fi, Space, Drama, Fantasy",The Phoenix -Space-,火の鳥　宇宙編,OVA,1,Kadokawa Shoten,Unknown,Madhouse,Manga,48 min.,PG-13,3774,8471,2308,4,48.0,"Dec 21, 1987",Unknown,Unknown,Unknown
2999,Hi no Tori: Yamato-hen,6.78,"Drama, Historical",The Phoenix:Chapter of Yamato,火の鳥・ヤマト編,OVA,1,Kadokawa Shoten,Unknown,Madhouse,Manga,48 min.,PG-13,4543,8872,1968,2,48.0,"Aug 1, 1987",Unknown,Unknown,Unknown
3000,Taiho Shichau zo: Full Throttle,7.22,"Action, Comedy, Police, Shounen",You're Under Arrest:Full Throttle,逮捕しちゃうぞ フルスロットル,TV,23,TBS,Sentai Filmworks,Studio Deen,Manga,24 min. per ep.,PG-13,2700,5388,7861,5,24.0,"Oct 5, 2007","Mar 28, 2008",2007,Fall
3001,Moyashimon,7.59,"Comedy, School, Seinen, Supernatural",Unknown,もやしもん,TV,11,Dentsu,Unknown,Telecom Animation Film,Manga,23 min. per ep.,PG-13,1320,1930,63611,250,23.0,"Oct 12, 2007","Dec 21, 2007",2007,Fall
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen",Kaiji:Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,TV,26,VAP,Unknown,Madhouse,Manga,23 min. per ep.,R-17+,240,592,247228,7760,23.0,"Oct 3, 2007","Apr 2, 2008",2007,Fall
3003,Yumedamaya Kidan,6.54,"Drama, Fantasy",Unknown,ゆめだまや奇談,Special,1,Unknown,Unknown,Production I.G,Original,24 min.,PG,5713,8179,2593,2,24.0,"Nov 25, 2007",Unknown,Unknown,Unknown
3004,Saint Beast: Ikusen no Hiru to Yoru-hen,6.29,"Magic, Fantasy",Unknown,セイント・ビースト～幾千の昼と夜 編～,OVA,2,Lantis,Unknown,Madhouse,Unknown,25 min. per ep.,PG-13,6955,7509,3405,6,25.0,"Dec 17, 2005","Mar 18, 2006",Unknown,Unknown
3005,Shadow Skill,6.59,"Adventure, Drama, Fantasy, Shounen",Unknown,影技 SHADOW SKILL,OVA,1,Takeshobo,Manga Entertainment,Zero-G Room,Unknown,51 min.,R-17+,5452,6589,4799,8,51.0,"Oct 25, 1995",Unknown,Unknown,Unknown
3006,Atashin'chi,7.25,"Comedy, Slice of Life",My Family,あたしンち,TV,330,TV Asahi,Unknown,Shin-Ei Animation,Manga,25 min. per ep.,G,2553,7521,3398,40,25.0,"Apr 19, 2002","Sep 19, 2009",2002,Spring
3007,Bronze: Kouji Nanjo Cathexis,6.26,"Music, Shounen Ai",Unknown,BRONZE KoJI NANJo cathexis,OVA,1,Victor Entertainment,Unknown,Madhouse,Manga,30 min.,PG-13,7078,6733,4570,12,30.0,"Jul 6, 1994",Unknown,Unknown,Unknown
3008,Time Bokan Series: Yatterman,6.68,"Adventure, Comedy, Mecha",Unknown,タイムボカンシリーズ ヤッターマン,TV,108,Unknown,Unknown,Tatsunoko Production,Original,22 min. per ep.,G,4998,6964,4159,17,22.0,"Jan 1, 1977","Jan 27, 1979",1977,Winter
3009,Tiger Mask,7.26,"Action, Drama, Shounen, Sports",Tiger Mask,タイガーマスク,TV,105,Unknown,Unknown,Toei Animation,Manga,23 min. per ep.,PG-13,2548,5394,7844,58,23.0,"Oct 2, 1969","Sep 30, 1971",1969,Fall
3010,Kaiketsu Zorro,7.23,"Adventure, Historical, Shounen",The Magnificent Zorro,快傑ゾロ,TV,52,Toho,Unknown,Ashi Production,Other,24 min. per ep.,PG-13,2655,5104,9044,55,24.0,"Apr 5, 1996","Apr 14, 1997",1996,Spring
3011,Yotsunoha,6.36,"Romance, School",Unknown,よつのは,OVA,2,Rondo Robe,Unknown,Hal Film Maker,Visual novel,37 min. per ep.,PG-13,6591,4807,10538,14,37.0,"Feb 29, 2008","Mar 28, 2008",Unknown,Unknown
3012,Gekitou! Crush Gear Turbo,6.8,"Sports, Shounen",Unknown,激闘! クラッシュギアTURBO,TV,68,Bandai Visual,Unknown,Sunrise,Unknown,25 min. per ep.,G,4430,6466,5028,34,25.0,"Oct 7, 2001","Jan 26, 2003",2001,Fall
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.95,"Action, Military, Sci-Fi, Space",Unknown,銀河英雄伝説:わが征くは星の大海,Movie,1,Unknown,Sentai Filmworks,Artland,Novel,59 min.,PG-13,596,2970,30212,45,59.0,"Feb 6, 1988",Unknown,Unknown,Unknown
3015,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,6.28,"Action, Military, Sci-Fi, Space, Drama",Unknown,銀河英雄伝説外伝　黄金の翼,Movie,1,Kitty Films,Unknown,Magic Bus,Novel,59 min.,PG-13,6976,4579,11810,8,59.0,"Dec 12, 1992",Unknown,Unknown,Unknown
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.12,"Action, Drama, Military, Sci-Fi, Space",Unknown,銀河英雄伝説外伝　新たなる戦いの序曲[オーヴァチュア],Movie,1,Tokuma Shoten,Unknown,Magic Bus,Novel,1 hr. 30 min.,PG-13,391,3206,26186,46,90.0,"Dec 18, 1993",Unknown,Unknown,Unknown
3019,Lupin III: Kiri no Elusive,6.86,"Action, Adventure, Mystery, Comedy, Seinen",Lupin III:Elusiveness of the Fog,ルパン三世 霧のエリューシヴ,Special,1,Unknown,Unknown,TMS Entertainment,Manga,1 hr. 32 min.,PG-13,4200,6681,4652,2,92.0,"Jul 27, 2007",Unknown,Unknown,Unknown
3020,Gu-Gu Ganmo,6.04,"Comedy, School, Shounen, Slice of Life",Unknown,Gu-Guガンモ,TV,50,Unknown,Unknown,Toei Animation,Manga,25 min. per ep.,G,8055,11427,663,2,25.0,"Mar 18, 1984","Mar 17, 1985",1984,Spring
3021,Yume Senshi Wingman,6.52,"Action, Comedy, Super Power, Romance, School",Wingman,夢戦士ウイングマン,TV,47,TV Asahi,Unknown,Toei Animation,Manga,24 min. per ep.,R+,5789,8880,1969,6,24.0,"Feb 7, 1984","Feb 26, 1985",1984,Winter
3022,Haai Step Jun,6.37,"Action, Romance, School, Sci-Fi",Unknown,はーいステップジュン,TV,45,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,PG-13,6561,10870,831,3,24.0,"Mar 10, 1985","Jan 12, 1986",1985,Spring
3023,Esper Mami,6.46,"Comedy, Ecchi, Magic, School, Super Power, Supernatural",Unknown,エスパー魔美,TV,119,Unknown,Unknown,Shin-Ei Animation,Manga,24 min. per ep.,PG-13,6085,9543,1501,4,24.0,"Apr 7, 1987","Oct 26, 1989",1987,Spring
3024,Ribbon no Kishi,6.63,"Action, Mystery, Romance, Fantasy, Shoujo",Princess Knight,リボンの騎士,TV,52,Fuji TV,Nozomi Entertainment,Mushi Production,Manga,23 min. per ep.,PG-13,5224,7434,3506,12,23.0,"Apr 2, 1967","Apr 7, 1968",1967,Spring
3025,Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,5.59,"Action, Fantasy, Magic",Unknown,ドラゴンスレイヤー英雄伝説 王子の旅立ち,OVA,2,Nihon Falcom,Urban Vision,Unknown,Game,22 min. per ep.,R-17+,9459,9527,1522,3,22.0,"Oct 21, 1992","Nov 21, 1992",Unknown,Unknown
3026,Compiler,5.19,"Sci-Fi, Comedy, Drama, Romance",Compiler,COMPILER,OVA,2,animate Film,ADV Films,Studio Fantasia,Unknown,30 min. per ep.,R+,10355,8853,1994,0,30.0,"Mar 5, 1994","Oct 5, 1994",Unknown,Unknown
3027,Hokuto no Ken: Yuria-den,7.12,"Action, Adventure, Drama, Martial Arts",Unknown,真救世主伝説 北斗の拳 ユリア伝,OVA,1,North Stars Pictures,Unknown,TMS Entertainment,Unknown,1 hr. 4 min.,R-17+,3114,5688,6954,9,64.0,"Feb 23, 2007",Unknown,Unknown,Unknown
3031,Digimon Frontier: Ornismon Fukkatsu!!,6.87,"Adventure, Comedy, Drama, Fantasy, Shounen",Digimon Frontier:Island of Lost Digimon,デジモンフロンティア 古代デジモン（オニスモン）復活！！,Movie,1,Unknown,Saban Brands,Toei Animation,Original,40 min.,PG,4160,3869,17611,12,40.0,"Jul 20, 2002",Unknown,Unknown,Unknown
3032,Digimon Tamers: Boukensha-tachi no Tatakai,6.99,"Adventure, Drama, Sci-Fi, Shounen",Digimon Tamers:Battle of Adventurers,デジモンテイマーズ 冒険者たちの戦い,Movie,1,Unknown,Saban Brands,Toei Animation,Original,50 min.,PG,3669,3768,18542,10,50.0,"Jul 14, 2001",Unknown,Unknown,Unknown
3033,Digimon Tamers: Bousou Digimon Tokkyuu,7.06,"Adventure, Comedy, Sci-Fi, Shounen",Digimon Tamers:Runaway Locomon,デジモンテイマーズ 暴走デジモン特急,Movie,1,Unknown,Saban Brands,Toei Animation,Original,30 min.,PG,3382,3541,21286,13,30.0,"Mar 2, 2002",Unknown,Unknown,Unknown
3034,Kurai Mirai,5.82,Hentai,Dark Future,クライミライ,OVA,2,Milky Animation Label,Unknown,Studio Jam,Visual novel,30 min. per ep.,Hentai,0,7816,3008,12,30.0,"Jan 25, 2006","Sep 25, 2006",Unknown,Unknown
3035,Chouon Senshi Borgman,6.39,"Action, Sci-Fi, Demons",Unknown,超音戦士ボーグマン,TV,35,Yomiuri Advertising,Unknown,Production Reed,Other,24 min. per ep.,PG-13,6472,8555,2251,6,24.0,"Apr 13, 1988","Dec 21, 1988",1988,Spring
3036,Tobe! Isami,7.17,"Action, Adventure, Comedy, Romance, Shounen",Soar High! Isami,飛べ！イサミ,TV,50,Hirameki International,Unknown,Group TAC,Original,25 min. per ep.,PG-13,2888,9262,1693,9,25.0,"Apr 8, 1995","Mar 30, 1996",1995,Spring
3037,GS Mikami: Gokuraku Daisakusen!!,6.59,"Comedy, Fantasy",Ghost Sweeper Mikami Movie,GS美神 極楽大作戦!!,Movie,1,Unknown,Manga Entertainment,Toei Animation,Manga,59 min.,PG-13,5444,8405,2379,1,59.0,"Aug 20, 1994",Unknown,Unknown,Unknown
3038,Senya Ichiya Monogatari,6.11,"Hentai, Fantasy",Unknown,千夜一夜物語,Movie,1,Unknown,Discotek Media,Mushi Production,Other,2 hr. 10 min.,Hentai,0,7316,3663,3,130.0,"Jun 14, 1969",Unknown,Unknown,Unknown
3039,Campus,5.93,Hentai,Unknown,キャンパス,OVA,2,Y.O.U.C,Unknown,Unknown,Visual novel,28 min. per ep.,Hentai,0,8058,2725,8,28.0,"Nov 10, 2000","Feb 16, 2001",Unknown,Unknown
3043,Andersen Douwa: Ningyohime,6.98,"Fantasy, Romance, Shoujo",Hans Christian Anderson's The Little Mermaid,アンデルセン童話 にんぎょ姫,Movie,1,Unknown,Discotek Media,Toei Animation,Unknown,1 hr. 8 min.,G,3686,6879,4288,27,68.0,"Mar 21, 1975",Unknown,Unknown,Unknown
